municipality,urban,renda_dom_pc,population,agua_canalizada,sem_banheiro,esgoto_rede,esgoto_fossa,lixo_coleta,mort_1to4yrs,mort_less1yr,mort_total
120001,0.26535594129636536,109.31303928038128,7934.9999998,0.19177666756928433,0.4966165845194832,0.0023815217370515306,0.4235060250931875,0.14823285612405326,2,6,35
120005,0.45750743084292217,103.96294230002384,3489.99999984,0.33230149998652153,0.5300635230919403,0.11105084948395828,0.2637358614014286,0.35079529715011437,1,3,22
120010,0.33190856982458566,99.61609990380019,17012.99999925,0.26781448735415386,0.46882713393851133,0.05459088519766796,0.24342684923118657,0.29156200280133043,3,8,97
120013,0.1764889641451268,78.76546757112638,5826.0000003,0.21432473524075987,0.5234647129487034,0,0.30438526873447574,0.18949737875392608,1,1,18
120017,0.16573556879250848,85.97204135883061,5206.00000041,0.11677413813649005,0.5293228859648929,0.007118055693014986,0.21705744624138792,0.12726927654777712,1,5,26
120020,0.7723857810578796,228.08454567354178,67440.99999987,0.564383876801033,0.9617163721785055,0.0345768279328757,0.7832017040414601,0.2992377140494952,11,42,260
120025,0.4140127448171793,146.2917824791319,11027.99999998,0.37198435088001564,0.5131645864743742,0.002608413802072527,0.44732041999151423,0.2815021727808601,1,6,46
120030,0.4515138631952993,102.67609909426282,27078.21636315,0.4335955969357434,0.9707833660139763,0.06939492900414147,0.32395534148291183,0.2725665723465172,3,23,115
120032,0.1247773929602075,23.500345047790322,4454.00000031,0.03582486894388776,0.6490458232726086,0.019662976247025468,0.16766417764935654,0.0441186421597051,1,4,8
120033,0.33155406045004876,91.248873439234,11094.99999924,0.17319674275581592,0.5322131902867904,0.001256050810735304,0.5183244950166743,0.0018384470440015268,4,1,43
120034,0.35599111078352824,94.00593442581469,6374.00000034,0.2483370696356923,0.6001273128642087,0.011127983573209632,0.213240080267933,0.14291155251185386,0,3,14
120035,0.17859821831956285,32.41424474539433,8294.99999987,0.06377950730841954,0.5986207111840552,0,0.1296783244451476,0,1,5,14
120038,0.30559799266405024,90.42736592089598,15172.000000349999,0.2083485375943714,0.5058999490296636,0.007187233683361893,0.4577966988528987,0.23292526438393732,4,5,58
120039,0.18429165172476608,56.583580932508035,5484.99999972,0.19131412981118637,0.5204329600698127,0,0.3539603475927697,0,3,12,29
120040,1.1324228774267269,387.4700682625855,253059.00000011,0.9721648496100666,0.560337029506673,0.5259561312624738,0.47305588646563723,1.0495465878542685,27,149,1538
120042,0.22729761815254182,48.61157335019136,8092.9999998,0.22315981961963532,0.5665988427534892,0.0071642108068783955,0.45081593024110883,0.005731577237272215,3,3,20
120043,0.16413633312512796,34.22441706967979,2246.00000015,0.15850496177738865,0.6309434208822936,0,0.09202711113960403,0.15073139010634493,5,8,17
120045,0.28263036244823986,115.88667356569812,19761.00000028,0.33135148016563337,0.42614772234218423,0.004739188981155424,0.488524702577288,0.27867013375435795,0,9,72
120050,0.6692106785841406,173.3125521131951,29419.99999981,0.5167738778033922,0.9848572889408299,0.012694148557058782,0.6835673032838195,0.3657907399518031,3,21,116
120060,0.6958247403233857,157.13855935791833,26037.00000016,0.549345499499649,1.0497168018456506,0.07636039417810449,0.5600463327456572,0.3654923456910956,8,33,137
120070,0.29575627628682954,94.4743183148927,11956,0.367946419583555,0.3690859693824045,0.15213679698223376,0.19264474661577732,0.3225536723380487,3,12,80
120080,0.07721624701466033,95.45204255785939,11417.99999965,0.2841166255515147,0.5646059269189141,0,0.4207815828009325,0.21328580132000027,4,6,41
270010,0.21071370755129218,127.59838170669886,19293.60292649,0.5059897796654225,0.4405758971381947,0.42684618443611294,0.35096566270045615,0.2791677638633753,2,19,102
270020,0.5642158874158134,139.91733922879783,17849.00000019,0.6202847118051094,0.5316442223165793,0.020603132889583254,0.753333243474993,0.801723364446629,3,7,103
270030,0.96598655660669,172.37028263903636,186466.00000106,0.9264989936684054,0.3210386086825402,0.07846590113070614,0.9953183073717896,0.9845527603412392,11,85,1175
270040,0.5159946076073872,109.264542689774,40552.00000043,0.7046475669728125,0.6091748795131838,0.17958938689573145,0.6102220270344727,0.5321721900759919,6,24,180
270050,0.5039372253062243,49.8695923621192,11351.0000001,0.46097275257885195,0.24151243714542187,0.0047981293727878994,0.37097670670218985,0.358438468040046,0,6,37
270060,0.4534832418334954,95.42025190100038,6379.00000043,0.5050291821162097,0.10236050136184482,0.08835722652353512,0.4265480846664872,0.4654382709859254,0,1,26
270070,0.41767033436852385,98.09867562742907,14799.00000021,0.4069614721387725,0.27613993880716103,0.04204328542394684,0.3315496194851076,0.31695271810061104,1,12,43
270080,0.1611316918473831,51.874576498503636,6024.0914013,0.23960086107002684,0.3477603233106234,0.03298596109445795,0.3915414298032687,0.21291610044200326,0,4,37
270090,0.10389224615227628,42.6646901055242,6822,0.16929672284402913,0.326167719287832,0.02536338192076639,0.26040712742283256,0.15743452465413219,0,2,11
270100,0.720261948366693,119.21566950348416,24227.00000068,0.7873445333874767,0.5138711260894492,0.7304306180340874,0.25209999145177553,0.8513342045028696,1,18,115
270110,0.2980604135211098,38.03888827083702,11324.99999961,0.2845651853384202,0.32481074759954565,0.1943802469113649,0.12456698367554754,0.23964686054014267,1,3,48
270120,0.2538574500367982,50.71741392600822,9551.99999966,0.10144557601211243,0.44890140943924867,0,0.3757485150339353,0.21162799622761083,0,7,51
270130,0.873749811845085,84.36005259918544,18975.00000034,0.9144709486917637,0.43642329542036756,0.06610745669070879,0.6814082788548785,0.8384308835782562,4,15,89
270135,0.46500171662016576,54.09440248672066,6222.99999994,0.40049717620966724,0.27511500690203666,0.32569682725118976,0.15325361540944377,0.3958079007194328,1,4,34
270140,0.4765602091226125,94.92263656109694,41027.999999910004,0.9170822849427144,0.30555944666877743,0.04045042801946039,1.0384133274702307,0.9581418694513137,5,21,146
270150,0.2502788297345403,41.93015264081119,9134.00000022,0.3178387988089061,0.3075890133900241,0.017782388379858675,0.29679566992350653,0.25053541994250994,1,10,55
