municipality,employees,estatutarios,temporarios,tx_coleta_lixo,tx_limpeza,mort_less1yr,mort_total
520860,2063,1497,41,0,0,9,450
520870,32001,26291,4450,0,0,244,8777
520880,1062,900,0,1,1,8,234
520890,945,459,118,1,0,2,180
520910,1419,1171,188,1,1,10,258
520915,345,222,7,1,1,1,23
520920,626,300,116,0,0,1,111
520929,220,154,35,0,0,0,18
520940,239,175,0,0,0,3,22
520945,221,71,14,0,0,1,15
520960,220,145,0,0,0,0,18
520970,801,513,78,0,0,4,104
520980,293,133,40,0,0,0,24
520990,489,394,41,0,0,2,57
520993,321,256,53,0,0,1,29
520995,685,509,45,0,0,3,72
521000,1603,1178,105,0,0,6,399
521010,1463,851,270,0,0,5,203
521015,243,145,28,0,0,0,14
521020,903,742,49,1,1,5,254
521030,200,71,28,0,0,0,22
521040,1279,662,166,0,0,6,256
521056,231,169,0,0,0,0,31
521060,259,125,24,0,0,0,45
521080,301,250,25,0,0,4,31
521090,564,398,53,0,0,2,116
521100,296,148,5,0,0,2,61
521120,840,557,91,1,0,1,208
521130,418,236,15,0,0,0,32
521140,320,185,35,0,0,0,57
521150,3993,3312,246,0,0,24,786
521160,229,157,30,0,0,0,14
521170,426,343,25,0,0,2,51
521180,1250,803,125,0,0,13,272
521190,3889,2200,484,0,0,19,586
521200,216,193,9,0,0,0,28
521205,168,112,13,0,0,1,10
521210,368,295,30,0,0,0,45
521220,676,618,0,0,0,0,152
521225,125,97,17,1,1,0,4
521230,355,256,0,0,0,1,45
521250,5519,3757,1059,1,1,30,1002
521260,205,117,13,0,0,0,11
521270,320,237,2,1,0,4,48
521280,490,380,35,1,0,3,70
521290,217,116,17,0,0,0,16
521295,374,237,22,0,0,0,38
521300,411,188,102,0,0,4,71
521305,235,76,21,0,0,0,5
521308,1527,939,98,0,0,3,178
521310,1672,1408,106,0,0,18,328
521340,202,168,9,0,0,0,7
521350,271,225,5,0,0,0,46
521370,NA,NA,NA,0,0,1,52
521375,516,235,53,1,1,1,49
521377,350,208,128,0,0,2,21
521380,1709,1156,27,0,0,3,326
521385,261,72,45,0,0,0,25
521390,272,145,66,1,1,0,33
521400,679,352,40,0,0,5,91
521405,312,161,12,0,0,1,44
521410,199,177,0,0,0,2,19
521440,283,190,0,0,0,1,61
521450,1281,876,70,0,0,4,189
521460,1429,1199,171,1,1,5,213
521470,335,209,34,0,0,1,24
521480,152,104,17,0,0,1,18
521483,565,439,0,0,0,1,59
521486,222,121,54,0,0,1,55
521487,182,121,13,0,0,2,20
521490,246,117,67,0,0,0,19
521500,325,189,4,0,0,0,62
521520,244,121,12,0,0,0,39
521523,2095,1410,0,0,0,13,445
521525,379,276,40,0,0,0,16
521530,600,458,70,0,0,2,97
521540,311,212,39,0,0,0,20
521550,286,137,5,0,0,2,51
521560,1104,729,142,0,0,5,141
521565,149,116,0,0,0,1,17
521570,786,489,43,1,0,5,166
521580,206,168,0,1,0,0,24
521590,257,133,111,0,0,1,30
521600,156,98,13,0,0,0,12
521630,409,285,75,0,0,3,86
521640,502,307,76,1,1,4,81
521645,325,240,46,0,0,1,11
521680,379,302,26,0,0,4,79
521690,269,147,27,0,0,0,17
521710,1029,759,149,0,1,10,203
521720,359,293,39,0,0,4,94
521730,794,530,111,0,0,5,191
521740,985,779,32,1,1,8,203
521760,3160,2631,259,0,1,14,501
521770,650,544,9,0,0,3,155
521800,1649,1392,10,1,0,9,267
521805,301,168,6,0,0,1,18
521810,234,188,25,0,0,2,19
521830,800,753,0,0,0,10,172
521839,244,124,35,0,0,0,23
521850,1899,1497,96,0,0,12,333
521860,448,297,45,0,0,2,91
521870,218,141,21,0,0,0,41
521878,452,376,18,1,1,1,25
521880,5809,3643,389,0,0,50,1046
521890,731,534,102,1,1,3,137
521900,252,235,0,0,0,0,34
521910,297,172,27,0,0,5,44
521920,286,208,0,0,0,0,15
521925,296,209,0,0,0,0,35
521930,1403,710,153,0,0,4,258
521935,300,210,35,0,0,0,25
521940,208,154,7,1,0,1,31
521945,229,123,19,0,0,0,10
521950,208,152,14,0,0,2,25
521960,244,169,8,0,0,3,22
521970,472,320,23,0,0,2,77
521971,346,167,59,0,0,2,31
521973,315,255,0,0,0,0,32
521975,1871,1636,66,0,0,12,310
521980,486,406,33,0,0,0,49
521990,270,228,10,0,0,1,28
522000,510,389,43,0,0,3,39
522005,197,109,25,0,0,0,15
522010,1027,870,63,0,0,6,207
522015,337,229,0,0,1,2,39
522020,691,593,0,0,0,10,156
522026,309,214,12,0,0,0,26
522028,205,112,22,0,0,0,12
522040,1135,649,299,1,1,4,135
522045,5083,3157,841,1,1,24,608
522050,421,208,26,0,0,3,37
522060,773,570,108,1,1,5,99
522068,295,204,0,0,0,0,31
522070,219,154,0,0,0,0,10
522100,238,165,16,0,0,0,31
522108,265,134,15,0,0,0,17
522119,256,169,0,0,0,1,22
522130,313,189,24,0,0,0,21
522140,2902,1324,525,1,1,22,743
522145,222,147,4,0,0,1,21
522150,243,166,0,0,0,0,26
522155,336,242,0,1,1,0,19
522157,221,150,21,0,0,0,15
522160,1099,888,42,0,0,12,249
522170,503,208,200,0,0,3,103
522180,249,196,33,0,0,0,19
522185,4083,2059,1256,1,1,39,579
522190,129,117,2,0,0,0,24
522200,567,458,54,0,0,1,82
522205,507,366,120,0,0,2,43
522220,342,281,31,0,0,3,27
522230,315,142,28,0,0,1,23
530010,130539,114047,10158,1,1,488,11975
