municipality,employees,estatutarios,temporarios,tx_coleta_lixo,tx_limpeza,mort_less1yr,mort_total
431127,140,105,8,1,0,0,14
431130,591,480,0,1,0,5,212
431140,2144,2,36,1,1,11,482
431142,216,152,40,1,0,0,21
431150,452,386,11,1,1,1,65
431160,264,164,30,1,1,0,41
431162,277,211,14,1,0,1,32
431164,109,96,2,1,0,0,9
431170,230,201,0,1,0,2,43
431171,339,237,44,0,0,0,16
431173,184,124,33,0,0,0,20
431175,304,273,13,1,0,2,46
431177,289,230,29,1,0,3,70
431179,170,134,8,1,0,0,22
431180,1529,927,331,0,1,9,214
431190,178,129,8,0,0,1,34
431198,198,123,61,0,0,0,34
431200,183,116,22,1,0,0,18
431205,184,0,13,1,1,1,57
431210,218,190,3,1,1,0,53
431213,144,127,0,1,0,0,21
431215,258,191,25,1,0,2,38
431217,111,88,0,1,0,0,15
431220,234,165,5,1,0,0,40
431225,301,165,58,1,1,1,65
431230,255,159,29,1,1,0,28
431235,106,84,3,1,0,0,8
431237,219,143,36,0,0,0,22
431238,149,95,26,1,0,0,20
431240,1743,1412,4,1,0,16,475
431242,195,147,28,0,0,0,14
431244,142,94,36,1,1,0,26
431245,303,213,23,0,0,1,63
431247,239,198,26,1,1,2,34
431250,633,511,25,1,0,0,83
431260,220,158,35,1,1,0,52
431261,223,175,0,1,0,0,18
431262,143,102,17,1,0,0,11
431265,548,419,45,1,0,5,130
431267,117,73,20,1,0,0,14
431270,514,364,94,1,0,5,91
431275,161,136,6,1,0,0,12
431280,169,131,11,1,1,0,21
431290,284,241,14,1,0,0,62
431295,151,102,25,1,0,0,13
431300,125,102,9,1,0,0,34
431301,152,134,3,1,0,0,21
431303,257,162,0,1,1,0,34
431306,757,532,24,1,0,2,91
431308,83,67,0,1,0,0,10
431310,248,223,5,1,1,0,53
431320,679,515,38,1,0,1,149
431330,833,596,31,1,0,1,157
431333,138,101,15,1,0,1,20
431335,142,119,0,1,1,1,25
431337,951,600,154,1,1,5,154
431339,194,135,21,1,0,0,33
431340,3941,3033,15,1,1,41,1710
431342,173,139,9,1,1,0,37
431344,212,120,58,1,0,0,19
431346,145,93,31,0,0,0,13
431349,189,166,1,1,0,1,25
431350,1703,1325,91,1,0,12,357
431360,218,172,10,1,0,0,30
431365,534,341,119,1,1,3,89
431370,957,709,0,1,0,5,218
431380,289,184,55,1,1,1,52
431390,1667,1355,172,1,1,5,246
431395,349,314,0,1,1,0,100
431400,233,189,19,1,0,0,42
431402,208,181,1,1,0,2,69
431403,197,157,0,1,0,0,31
431405,1831,1328,131,1,0,11,341
431406,173,124,24,1,0,2,36
431407,266,171,24,1,0,1,45
431410,3265,2477,196,1,0,24,1372
431413,147,118,11,1,0,0,15
431415,235,178,15,1,1,0,63
431417,279,225,17,1,0,1,11
431420,276,183,27,1,0,2,78
431430,258,211,7,1,0,0,27
431440,8377,5997,487,0,0,59,3203
431442,255,191,16,1,0,0,41
431445,122,78,6,0,0,0,9
431446,237,174,16,0,0,0,12
431447,269,224,11,1,1,0,27
431449,210,136,5,0,0,1,37
431450,564,406,66,1,1,5,149
431454,104,7,67,1,0,0,15
431455,181,166,2,1,0,0,19
431460,730,611,0,0,0,4,185
431470,330,255,29,0,1,2,86
431475,117,84,1,1,0,1,16
431477,304,116,115,1,0,1,22
431478,122,79,26,1,1,1,18
431480,881,630,29,1,1,4,224
431490,18085,13501,1055,1,0,182,11328
431500,186,149,0,1,1,0,40
431505,145,110,5,1,1,0,23
431507,123,95,5,1,0,0,15
431510,386,312,3,1,1,1,108
431513,135,86,6,0,1,0,19
431514,164,107,16,1,0,0,26
431515,206,134,12,1,0,0,58
431517,118,101,2,1,0,0,14
431520,156,108,8,0,0,0,43
431530,741,478,30,1,0,3,212
431531,150,122,15,1,0,0,12
431532,175,154,5,1,0,0,15
431535,215,150,7,1,1,2,43
431540,340,258,26,1,1,1,54
431545,107,83,0,1,0,0,19
431550,491,301,85,1,1,0,133
431555,221,162,23,1,0,0,22
431560,5378,4287,110,1,1,46,1771
431570,866,76,0,1,1,8,313
431575,161,134,0,1,0,0,32
431580,278,192,16,1,1,0,90
431590,233,134,57,1,1,1,31
431595,220,143,38,1,0,0,19
431600,575,57,66,1,0,3,166
431610,341,233,19,1,0,1,63
431620,240,115,62,1,1,0,48
