employees,estatutarios,comissionados,indireta_existe,plano_diretor,tx_limpeza,tx_coleta_lixo
906,323,119,1,0,0,0
485,208,27,0,0,0,0
1360,0,147,0,1,0,0
1345,1043,150,1,1,0,1
582,0,35,0,1,1,1
328,270,28,0,0,1,1
393,381,12,0,1,1,1
607,0,42,0,1,0,0
164,0,36,0,0,0,0
371,278,62,1,0,0,0
940,0,34,0,1,1,1
3643,2093,1458,1,1,0,1
293,258,24,0,0,0,1
707,0,46,1,0,0,1
216,180,18,1,0,0,0
580,480,34,0,1,0,1
143,102,23,0,0,0,1
210,127,10,1,0,0,0
160,115,23,0,0,0,1
8480,3137,207,1,1,1,1
187,104,31,0,1,1,1
506,259,33,0,0,0,0
6474,4946,65,1,1,0,0
2546,940,239,0,1,1,1
501,385,42,0,0,0,1
875,586,57,1,0,0,0
459,365,16,0,0,0,0
189,166,9,0,1,0,1
307,205,47,0,0,0,1
349,256,20,0,1,1,1
651,527,33,0,0,0,0
569,6,30,0,1,0,1
551,444,19,0,0,1,1
254,120,83,0,0,0,0
939,7,85,1,1,1,1
853,470,52,1,1,0,0
1495,759,163,0,1,0,0
219,120,14,0,0,1,0
578,417,130,0,0,0,0
907,623,130,0,0,0,0
191,126,25,0,1,1,1
960,646,43,0,0,1,1
3293,2540,39,0,1,0,0
250,132,50,0,0,0,0
866,76,91,0,1,1,1
1001,492,38,0,1,0,0
552,423,47,0,0,0,0
347,277,14,0,1,1,1
248,205,18,0,0,0,0
352,262,20,0,0,0,0
226,159,41,0,0,0,0
1207,828,145,1,1,0,0
1088,780,77,0,1,0,0
1908,1292,138,0,1,0,0
986,570,43,1,1,0,1
809,673,93,0,0,1,1
118,101,14,0,1,0,1
438,366,35,0,1,0,1
267,120,40,0,0,1,1
215,163,32,0,0,0,0
290,142,20,0,0,0,0
1034,943,43,0,1,1,0
740,464,85,0,0,0,0
223,173,19,0,0,1,1
250,127,19,0,0,1,1
548,343,64,0,0,1,1
786,587,27,0,1,1,1
247,164,25,0,1,0,0
7111,4385,535,1,1,0,1
224,88,22,0,0,1,1
615,368,25,0,0,1,0
224,151,42,0,1,1,1
413,342,47,0,0,1,1
432,285,21,1,0,1,1
371,254,44,0,0,1,1
3153,1733,153,1,1,0,0
205,47,48,0,1,0,0
2063,1497,231,1,1,0,0
1163,890,131,0,1,0,0
382,200,52,0,1,1,1
460,239,38,0,0,1,1
378,250,19,0,0,0,0
520,401,50,0,0,1,0
233,139,17,0,0,1,1
391,364,26,0,1,0,1
1075,0,97,0,1,1,1
1357,1171,60,0,1,0,0
538,361,62,0,1,1,1
651,473,49,0,0,1,1
145,110,22,0,0,1,1
887,278,47,0,0,0,0
177,113,32,0,0,1,1
193,122,37,0,1,1,1
1800,1384,132,1,1,0,0
1625,1392,77,0,1,1,0
382,298,26,0,0,0,0
1097,694,74,0,1,0,0
230,193,37,0,0,1,1
182,149,15,0,1,1,1
908,751,25,0,1,1,1
3037,1465,145,1,1,0,0
239,151,11,0,0,1,1
286,246,40,0,1,0,1
5652,3121,346,1,1,0,0
395,198,30,0,1,0,0
479,306,49,0,0,0,0
2035,0,330,0,1,0,0
206,170,23,0,1,1,1
146,104,18,0,1,0,1
638,346,75,0,1,0,1
83,67,16,0,1,0,1
132,102,22,0,0,0,1
1026,695,148,0,1,0,0
919,458,62,0,0,0,0
1849,769,275,0,1,0,0
942,554,122,0,1,0,1
509,4,42,0,1,0,1
1119,839,53,0,1,0,0
869,542,102,1,0,0,0
860,0,146,0,1,0,0
1174,588,76,0,1,0,1
248,144,32,0,0,0,0
828,643,96,0,1,1,1
1670,1492,92,0,1,1,1
1318,1151,73,0,1,0,1
833,733,70,0,0,1,1
228,176,8,0,0,1,1
315,195,40,0,0,0,0
NA,183,59,0,1,1,1
1022,846,97,1,1,1,1
620,0,30,0,1,0,0
319,180,15,0,0,0,0
749,579,53,0,0,1,1
1308,875,203,1,1,0,1
486,0,34,0,1,1,1
250,142,19,0,0,0,0
2075,1668,145,1,1,1,1
431,212,27,1,0,0,0
507,402,30,0,0,0,0
406,0,23,1,1,0,1
1360,1032,194,0,0,0,0
280,16,20,0,0,1,1
134,0,8,0,1,0,1
3193,2252,635,1,1,0,0
945,408,116,0,1,1,1
226,178,48,0,1,1,1
320,185,100,0,0,0,0
580,350,40,0,0,0,0
780,739,41,0,1,0,0
574,382,98,0,0,0,1
484,354,55,0,0,0,0
231,148,13,0,0,1,1
800,381,51,0,0,1,1
882,552,82,0,1,0,0
1637,193,45,0,0,0,0
238,163,39,0,0,0,0
310,204,44,0,0,0,0
1021,5,42,1,1,0,1
3504,1957,1028,0,1,0,0
122,78,12,0,1,0,0
1112,1032,67,0,1,1,1
1093,728,87,0,1,0,0
5555,0,199,1,1,0,1
522,336,65,0,0,0,0
303,0,19,0,1,1,1
